index,temp out,temp in
     844.0,      -8.0,      54.0
     845.0,      -8.0,      55.0
     846.0,      -8.0,      56.0
     847.0,      -8.0,      57.0
     848.0,      -7.0,       5.0
     849.0,      -7.0,       6.0
     850.0,      -7.0,       7.0
     851.0,      -7.0,       8.0
     852.0,      -7.0,       9.0
     853.0,      -7.0,      10.0
     854.0,      -7.0,      11.0
     855.0,      -7.0,      12.0
     856.0,      -7.0,      13.0
     857.0,      -7.0,      14.0
     858.0,      -7.0,      15.0
     859.0,      -7.0,      16.0
     860.0,      -7.0,      17.0
     861.0,      -7.0,      18.0
     862.0,      -7.0,      19.0
     863.0,      -7.0,      20.0
     864.0,      -7.0,      21.0
     865.0,      -7.0,      22.0
     866.0,      -7.0,      23.0
     867.0,      -7.0,      24.0
     868.0,      -7.0,      25.0
     869.0,      -7.0,      26.0
